N,P,K,temperature,humidity,ph,rainfall,label
101,58,44,29.31993941811405,77.9597545259111,5.312037280884873,173.3991780504304,0
73,32,51,22.564115790271003,81.65996316800474,6.8771054180315,150.11681487615215,0
109,50,62,25.042422429595376,75.74269294896713,5.863890037284231,193.68437102970628,0
108,71,89,25.663618432936918,73.68209952651108,6.570351922786028,179.95106732375396,0
104,32,80,28.803075385877797,73.51497755908629,5.0265299223197335,291.3302633527279,0
63,79,38,22.15966252220214,66.92681476866447,5.482050932052023,252.48952782381872,0
93,37,76,23.73364653507772,71.73181822719722,5.364472175576124,263.30421154764787,0
55,71,33,23.84854455525527,89.08753883293676,6.550265646722229,290.9248412346284,0
111,65,43,29.27271995856421,69.79622306417507,6.140887948810799,228.12513900387356,0
111,69,82,27.867511656638484,88.95765921792415,6.214068495373369,191.39987730338152,0
78,44,74,22.745506436797708,89.60660809801553,6.544489538593314,179.80735223012587,0
112,40,37,29.290071680409874,83.13811040057837,5.148089303468181,203.7698592816409,0
90,57,36,30.500385777897993,73.4835202241461,5.190820232980823,205.62273782973995,0
111,53,66,29.29606178338064,79.12672414065639,6.774425485152653,220.8322387742924,0
96,43,32,29.607850486168974,76.83831592708489,6.541934359909122,224.06933945465863,0
58,44,44,23.108908208118315,73.1800950559731,5.403438404670792,284.36453935102793,0
101,61,33,31.07566473926093,67.47876687446625,5.820765846071259,263.3326707814573,0
85,42,61,27.98865466488536,80.84354799119114,6.760935678030515,243.653107220069,0
111,35,57,30.036720768991145,65.59710176658108,6.785117996979956,230.9013362873476,0
111,62,30,24.279351625419416,72.8132336587877,6.6360295318449865,279.10958748845155,0
119,37,56,26.17411003148779,66.66323431412191,5.239730734667366,200.6422757105442,0
108,61,81,25.63629602379294,89.15346248162882,6.9248945898842225,187.76734437380463,0
51,32,85,22.368869473545328,78.2869300193969,6.005358046457723,157.7218126874984,0
50,48,31,27.309345833171363,73.43349493719275,6.105786178142656,238.90450858190903,0
104,40,85,24.376375439923997,81.84649045835579,5.735566265438506,244.84587458903692,0
119,51,40,30.16431873219384,83.95035374953653,5.301435087930859,226.2298165111078,0
52,49,88,24.202410475655483,81.33448597314053,6.61900209227943,202.2998980937594,0
101,70,62,25.975720210875224,75.53254051582441,6.6754202118146555,251.3535175558921,0
106,54,79,31.24693618278563,86.32018060142943,5.515883255430311,248.99760690512687,0
109,78,31,31.962536997579242,88.96258053866381,6.116586907214195,282.39545147840096,0
58,70,48,29.259556788702394,86.9133077985773,6.774172848530235,266.9813318786436,0
